stratum,reading,kind,n,events,c,lo,hi
all prodromal,"UPSIT, continuous score",continuous,1759,152,0.7003415631786459,0.6529607850821774,0.7446998094230697
all prodromal,"UPSIT, dichotomised (hyposmic yes/no)",binary,1759,152,0.618499933233535,0.5814360546205832,0.6546993062254021
all prodromal,"imaging, continuous (lowest putamen %exp)",continuous,1759,152,0.7504128978754208,0.7002841295754434,0.798305295856446
all prodromal,"imaging, dichotomised (DAT-deficit flag)",binary,1759,152,0.7158419251231666,0.6745457478168456,0.7605338684984674
all prodromal,"OIS, continuous",continuous,1759,152,0.7988572392418141,0.7531314523966084,0.8427189278946813
hyposmia,"UPSIT, continuous score",continuous,1003,68,0.6983131228238684,0.6325314842230595,0.7601279052264246
hyposmia,"UPSIT, dichotomised (hyposmic yes/no)",binary,1003,68,0.5802767439068316,0.5474598430696581,0.6072789049918788
hyposmia,"imaging, continuous (lowest putamen %exp)",continuous,1003,68,0.7614059310841638,0.6740277730288694,0.8373791713854698
hyposmia,"imaging, dichotomised (DAT-deficit flag)",binary,1003,68,0.7487543522631769,0.6829333106060986,0.8061440341346409
hyposmia,"OIS, continuous",continuous,1003,68,0.8350642334013687,0.7741060224062686,0.894507130532964
